CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2013-11-1,32,25,18,19,16,13,100,58,31,1017,1014,1012,11,7,5,21,8,26,0.00,,,27
2013-11-2,30,26,22,19,16,15,69,55,45,1015,1013,1011,9,7,4,32,18,,0.00,6,,6
2013-11-3,29,26,22,19,17,15,67,56,44,1018,1015,1013,10,7,5,35,26,43,0.00,4,,14
2013-11-4,26,23,22,17,15,14,65,58,51,1021,1018,1017,8,7,6,29,21,,0.00,6,,28
2013-11-5,23,21,19,19,18,15,99,84,61,1022,1020,1018,7,5,0,18,10,,9.91,7,中雨,22
2013-11-6,28,23,19,21,19,18,96,77,52,1021,1019,1016,18,7,4,14,5,,0.00,5,,62
2013-11-7,30,24,19,20,18,15,95,70,36,1020,1017,1014,11,6,4,11,5,,0.00,,,99
2013-11-8,29,24,19,22,20,19,99,77,52,1019,1016,1014,10,5,3,11,3,,0.00,6,,73
2013-11-9,31,26,20,22,20,17,99,72,43,1017,1015,1013,14,6,2,14,5,,0.00,6,,85
2013-11-10,28,26,24,24,22,20,94,80,69,1016,1015,1013,14,9,6,14,8,,0.51,7,中雨,66
2013-11-11,29,26,23,22,21,20,89,74,61,1016,1013,1010,16,9,6,18,8,,0.00,6,,92
2013-11-12,25,21,17,20,18,16,100,86,72,1015,1013,1010,19,8,3,26,13,43,7.87,7,中雨,50
2013-11-13,19,17,15,16,14,12,99,85,72,1018,1016,1014,31,10,3,26,16,,0.51,8,中雨,16
2013-11-14,19,17,16,15,14,13,94,81,68,1021,1019,1017,18,9,5,26,13,,0.00,8,中雨,348
2013-11-15,24,20,16,15,12,10,83,62,45,1022,1020,1017,19,11,6,21,14,,0.00,5,中雨,11
2013-11-16,25,19,14,13,11,10,82,60,42,1022,1019,1017,11,8,5,18,10,,0.00,,,23
2013-11-17,24,19,15,13,7,3,74,42,28,1021,1019,1018,19,10,6,21,11,,0.00,8,,24
2013-11-18,25,19,13,12,7,3,76,45,17,1023,1021,1019,19,10,8,18,6,,0.00,,,44
2013-11-19,22,18,14,13,9,5,84,51,25,1023,1021,1019,14,8,6,11,5,,0.00,8,,64
2013-11-20,24,18,13,13,10,4,93,59,29,1022,1020,1017,10,7,4,11,5,,0.00,8,,72
2013-11-21,25,19,13,15,11,6,88,60,29,1021,1018,1016,14,7,5,6,5,,0.00,,,83
2013-11-22,27,21,16,16,13,8,95,60,23,1021,1018,1016,19,7,3,11,5,,0.00,,中雨,84
2013-11-23,27,22,17,18,15,13,94,65,37,1020,1017,1014,10,6,3,11,5,,0.25,4,,105
2013-11-24,26,21,15,19,17,10,100,78,54,1017,1015,1013,23,6,1,32,8,55,4.06,7,中雨,12
2013-11-25,22,17,12,10,4,-1,76,46,20,1019,1016,1014,31,23,11,29,16,,0.00,,,359
2013-11-26,23,17,11,13,8,5,85,56,27,1020,1017,1013,21,10,7,11,3,,0.00,2,,87
2013-11-27,18,14,12,14,12,9,95,81,64,1025,1020,1016,10,7,3,32,10,32,4.06,7,中雨,27
2013-11-28,20,14,9,10,4,-4,92,54,22,1028,1025,1022,23,10,6,35,21,,2.03,8,中雨,19
2013-11-29,18,12,7,6,-2,-8,85,37,14,1029,1025,1021,31,22,13,29,14,43,0.00,,,21
2013-11-30,21,14,7,7,1,-4,76,46,14,1025,1022,1019,31,22,11,11,5,,0.00,,,45
2013-12-1,23,16,9,8,3,-4,78,47,15,1024,1022,1020,31,11,6,18,3,,0.00,,,23
2013-12-2,24,16,8,9,4,-1,90,49,14,1023,1021,1017,31,10,6,11,2,,0.00,,,60
2013-12-3,24,16,7,11,6,1,97,58,12,1022,1019,1017,23,7,3,11,3,,0.00,,,76
2013-12-4,24,17,9,9,7,3,90,55,17,1021,1019,1016,18,8,5,26,6,35,0.00,,,33
2013-12-5,23,16,8,8,4,-2,85,49,12,1021,1018,1016,23,9,6,11,6,,0.00,,,87
2013-12-6,22,16,9,8,4,-1,85,50,19,1020,1017,1015,13,8,6,26,6,,0.00,,,16
2013-12-7,23,16,9,11,7,4,90,58,25,1020,1018,1016,10,6,3,14,3,29,0.00,,,360
2013-12-8,24,17,9,14,10,8,97,64,33,1018,1015,1012,10,5,2,11,3,,0.00,6,,63
2013-12-9,25,20,16,14,11,8,82,54,30,1017,1015,1012,8,5,4,29,11,47,0.00,6,,348
2013-12-10,22,18,14,12,7,4,75,49,31,1018,1015,1012,6,5,3,26,14,29,0.00,5,,27
2013-12-11,19,16,13,10,3,-1,59,42,30,1020,1018,1016,8,5,4,21,11,,0.00,6,,24
2013-12-12,16,14,12,11,4,-2,80,50,31,1020,1018,1015,8,5,3,18,6,,0.51,7,中雨,33
2013-12-13,16,14,12,13,11,7,99,83,55,1021,1019,1017,5,4,2,18,8,,5.08,8,雾-中雨,352
2013-12-14,15,14,13,13,13,12,100,93,82,1022,1020,1018,8,4,0,21,10,,7.87,8,中雨,12
2013-12-15,15,13,12,13,12,11,96,93,88,1021,1019,1016,7,4,2,26,11,,16.00,8,中雨,16
2013-12-16,11,10,9,10,9,8,100,92,82,1021,1018,1016,18,8,3,29,18,,9.91,7,中雨,348
2013-12-17,11,9,8,9,8,5,96,87,76,1021,1018,1016,31,10,6,21,14,,13.97,7,中雨,334
2013-12-18,13,11,8,5,3,1,76,61,42,1025,1022,1020,31,12,10,40,21,58,0.00,6,,15
2013-12-19,14,10,6,4,2,0,81,54,33,1025,1023,1021,27,13,8,29,21,43,0.00,5,,16
2013-12-20,16,11,6,6,3,1,81,57,34,1027,1024,1022,18,10,8,21,8,29,0.00,5,,7
2013-12-21,16,11,7,3,1,-1,63,47,28,1028,1025,1024,10,6,5,26,14,,0.00,6,,3
2013-12-22,16,10,5,4,-3,-7,73,40,22,1028,1025,1023,10,8,6,21,8,,0.00,,,11
2013-12-23,18,12,7,4,-1,-5,66,43,18,1025,1023,1021,11,7,5,21,6,,0.00,,,18
2013-12-24,18,12,7,5,-2,-5,72,39,21,1027,1024,1021,11,9,6,26,10,35,0.00,,,11
2013-12-25,18,13,8,3,-1,-3,58,40,25,1025,1023,1019,10,8,5,26,14,,0.00,,,13
2013-12-26,18,12,7,2,-3,-6,57,33,15,1026,1022,1019,11,8,6,29,18,,0.00,,,359
2013-12-27,15,11,8,-1,-4,-7,44,32,20,1027,1025,1022,8,5,3,32,21,47,0.00,,,14
2013-12-28,14,9,4,1,-8,-14,58,29,9,1027,1024,1021,13,6,4,21,13,,0.00,,,8
2013-12-29,16,10,4,2,-8,-13,77,29,12,1026,1023,1020,19,11,7,26,11,,0.00,,,27
2013-12-30,18,11,4,4,-2,-7,73,44,10,1026,1023,1020,16,8,6,14,5,,0.00,,,12
2013-12-31,20,13,6,5,1,-6,81,48,15,1025,1022,1019,14,7,5,18,5,,0.00,,,354
